domain,protocol,packet_count,avg_packet_size,flow_duration,packets_per_second,bytes_per_second,category
xhpingcdn.com,HTTPS,80,100.9,65.245,1.2,123.7,other
google.com,HTTPS,40,141.6,241.220,0.2,23.5,search
xhpingcdn.com,HTTPS,14,237.7,65.142,0.2,51.1,other
xhpingcdn.com,HTTPS,129,99.0,67.406,1.9,189.4,other
xhpingcdn.com,HTTPS,136,125.9,69.058,2.0,247.9,other
vimeo.com,HTTPS,26,207.1,312.706,0.1,17.2,streaming
vimeo.com,HTTPS,29,264.1,309.076,0.1,24.8,streaming
vimeo.com,HTTPS,20,198.9,309.079,0.1,12.9,streaming
vimeo.com,HTTPS,26,180.0,307.558,0.1,15.2,streaming
vimeo.com,HTTPS,19,206.9,309.079,0.1,12.7,streaming
vimeo.com,HTTPS,20,198.9,309.080,0.1,12.9,streaming
vimeo.com,HTTPS,19,204.3,309.081,0.1,12.6,streaming
vimeo.com,HTTPS,18,218.4,305.532,0.1,12.9,streaming
pornhits.quest,HTTPS,161,82.5,300.773,0.5,44.2,adult
xhpingcdn.com,HTTPS,195,82.9,113.570,1.7,142.4,other
phncdn.com,HTTPS,145,89.8,225.520,0.6,57.7,other
xhpingcdn.com,HTTPS,50,121.8,65.200,0.8,93.4,other
xhpingcdn.com,HTTPS,14,261.7,65.224,0.2,56.2,other
xhpingcdn.com,HTTPS,16,223.0,65.217,0.2,54.7,other
trustpilot.com,HTTPS,146,232.7,641.508,0.2,53.0,social_media
phncdn.com,HTTPS,269,114.2,291.401,0.9,105.4,other
xhcdn.com,HTTPS,19,197.6,181.251,0.1,20.7,other
xhpingcdn.com,HTTPS,19,269.2,181.845,0.1,28.1,other
fontawesome.com,HTTPS,9,773.8,69.554,0.1,100.1,other
braze.com,HTTPS,9,781.1,69.557,0.1,101.1,other
xhpingcdn.com,HTTPS,31,156.2,181.027,0.2,26.7,other
braze.com,HTTPS,9,781.1,73.686,0.1,95.4,other
website-files.com,HTTPS,31,167.1,425.249,0.1,12.2,other
pornhits.quest,HTTPS,42,123.3,400.537,0.1,12.9,adult
highwebmedia.com,HTTPS,35,187.3,402.587,0.1,16.3,other
mmcdn.com,HTTPS,43,129.2,408.190,0.1,13.6,other
fontawesome.com,HTTPS,23,175.2,406.203,0.1,9.9,other
wordtune.com,HTTPS,87,437.2,449.453,0.2,84.6,writing_assistant
chaturbate.com,HTTPS,93,317.2,430.973,0.2,68.4,adult
google.com,HTTPS,19,231.4,240.295,0.1,18.3,search
mmcdn.com,HTTPS,462,87.9,427.583,1.1,95.0,other
quillbot.com,HTTPS,104,176.6,616.517,0.2,29.8,writing_assistant
ubuntu.com,HTTPS,6,84.0,0.358,16.8,1407.5,other
xhpingcdn.com,HTTPS,45,174.2,66.378,0.7,118.1,other
xhpingcdn.com,HTTPS,15,397.1,65.685,0.2,90.7,other
xhpingcdn.com,HTTPS,285,79.0,181.851,1.6,123.8,other
xhpingcdn.com,HTTPS,30,188.4,73.599,0.4,76.8,other
xhamster44.desi,HTTPS,150,403.1,690.111,0.2,87.6,adult
xhpingcdn.com,HTTPS,15,248.6,65.241,0.2,57.2,other
xhpingcdn.com,HTTPS,10,279.7,96.834,0.1,28.9,other
youtube.com,HTTPS,21,294.1,240.256,0.1,25.7,streaming
google.com,HTTPS,19,204.2,240.077,0.1,16.2,search
githubcopilot.com,HTTPS,40,140.2,90.127,0.4,62.2,ai_tool
xhpingcdn.com,HTTPS,78,102.6,65.375,1.2,122.4,other
phncdn.com,HTTPS,2373,73.5,435.025,5.5,401.1,other
xhcdn.com,HTTPS,13651,68.8,774.559,17.6,1212.3,other
xhcdn.com,HTTPS,16,242.8,180.833,0.1,21.5,other
xhpingcdn.com,HTTPS,324,89.6,366.493,0.9,79.2,other
brave.com,HTTPS,14,312.2,10.787,1.3,405.2,other
xhpingcdn.com,HTTPS,57,125.0,181.041,0.3,39.4,other
vimeo.com,HTTPS,207,542.0,633.605,0.3,177.1,streaming
xhpingcdn.com,HTTPS,94,96.2,65.358,1.4,138.4,other
xhpingcdn.com,HTTPS,7,370.1,0.103,67.7,25045.2,other
xhpingcdn.com,HTTPS,22,193.1,65.583,0.3,64.8,other
pornhits.quest,HTTPS,98,94.1,1.501,65.3,6148.6,adult
pornhits.quest,HTTPS,35,165.7,5.048,6.9,1148.7,adult
mmcdn.com,HTTPS,21,256.2,0.889,23.6,6055.3,other
brave.com,HTTPS,40,152.4,5.358,7.5,1137.6,other
stripe.com,HTTPS,7,365.3,0.759,9.2,3369.0,other
doppiocdn.org,HTTPS,201,101.1,32.125,6.3,632.7,other
highwebmedia.com,HTTPS,12,459.8,0.589,20.4,9366.6,other
strpst.com,HTTPS,57,156.2,10.109,5.6,880.9,social_media
xhpingcdn.com,HTTPS,15,394.3,0.623,24.1,9496.8,other
xhpingcdn.com,HTTPS,47,128.8,0.408,115.3,14851.1,other
xhpingcdn.com,HTTPS,13,292.5,47.064,0.3,80.8,other
stripe.com,HTTPS,11,255.7,60.592,0.2,46.4,other
youtube.com,HTTPS,13,309.8,92.253,0.1,43.7,streaming
youtube.com,HTTPS,124,205.0,143.128,0.9,177.6,streaming
xhpingcdn.com,HTTPS,66,128.7,0.829,79.6,10243.3,other
xhpingcdn.com,HTTPS,10,292.0,15.682,0.6,186.2,other
xhpingcdn.com,HTTPS,18,224.9,91.254,0.2,44.4,other
googleusercontent.com,HTTPS,57,150.8,448.389,0.1,19.2,social_media
xhamster19.com,HTTPS,239,342.1,464.092,0.5,176.2,adult
xhpingcdn.com,HTTPS,14186,68.8,462.429,30.7,2109.3,other
phncdn.com,HTTPS,8525,68.8,578.420,14.7,1014.0,other
xhpingcdn.com,HTTPS,21,213.8,93.061,0.2,48.2,other
youtube.com,HTTPS,811,236.5,356.516,2.3,537.9,streaming
wordtune.com,HTTPS,248,203.8,658.250,0.4,76.8,writing_assistant
phncdn.com,HTTPS,511,100.1,573.759,0.9,89.2,other
chatgpt.com,HTTPS,41,285.5,500.283,0.1,23.4,ai_tool
stripchatgirls.com,HTTPS,205,214.7,862.643,0.2,51.0,adult
youtube.com,HTTPS,2377,839.0,973.350,2.4,2049.0,streaming
sc-apps.com,HTTPS,267,92.8,860.444,0.3,28.8,other
youtube.com,HTTPS,722,93.8,946.976,0.8,71.5,streaming
doppiocdn.org,HTTPS,417,101.6,858.871,0.5,49.3,other
whatsapp.com,TCP,60,160.4,532.955,0.1,18.1,messaging
quillbot.com,HTTPS,227,541.7,933.327,0.2,131.8,writing_assistant
githubcopilot.com,HTTPS,14,308.6,1.207,11.6,3580.7,ai_tool
xhamster44.desi,HTTPS,13,452.4,0.345,37.7,17040.3,adult
chapturist.com,HTTPS,133,115.8,5.711,23.3,2696.6,social_media
xhpingcdn.com,HTTPS,12,351.0,0.831,14.4,5067.5,other
xhpingcdn.com,HTTPS,27,171.9,1.546,17.5,3002.4,other
xhpingcdn.com,HTTPS,90,97.4,47.314,1.9,185.2,other
xhpingcdn.com,HTTPS,37,200.3,46.463,0.8,159.5,other
google.com,HTTPS,15,271.9,48.895,0.3,83.4,search
strpst.com,HTTPS,16,332.5,0.633,25.3,8405.4,social_media
braze.com,HTTPS,16,296.1,48.541,0.3,97.6,other
xhpingcdn.com,HTTPS,145,91.2,92.397,1.6,143.1,other
xhpingcdn.com,HTTPS,273,77.8,87.089,3.1,244.0,other
brave.com,HTTPS,11,257.5,55.747,0.2,50.8,other
xhamster44.desi,HTTPS,17,296.7,225.938,0.1,22.3,adult
xhpingcdn.com,HTTPS,7717,70.9,381.945,20.2,1432.9,other
xhamster19.com,HTTPS,310,116.1,464.676,0.7,77.5,adult
xhpingcdn.com,HTTPS,83,124.7,456.110,0.2,22.7,other
google.com,HTTPS,94,112.2,457.220,0.2,23.1,search
mmcdn.com,HTTPS,2262,96.1,634.447,3.6,342.8,other
quillbot.com,HTTPS,768,328.3,938.013,0.8,268.8,writing_assistant
youtube.com,HTTPS,167,125.0,940.672,0.2,22.2,streaming
google.com,HTTPS,138,162.4,951.300,0.1,23.6,search
youtube.com,HTTPS,417,232.1,411.413,1.0,235.2,streaming
jsdelivr.net,HTTPS,102,113.9,579.791,0.2,20.0,other
githubcopilot.com,HTTPS,13,405.1,1.122,11.6,4693.5,ai_tool
github.com,HTTPS,11,352.7,2.781,4.0,1395.3,development
githubcopilot.com,HTTPS,14,380.9,1.085,12.9,4913.1,ai_tool
githubcopilot.com,HTTPS,13,405.5,1.135,11.4,4643.1,ai_tool
github.com,HTTPS,19,295.4,30.677,0.6,182.9,development
ubuntu.com,HTTPS,6,82.0,0.441,13.6,1116.7,other
githubcopilot.com,HTTPS,13,405.0,1.102,11.8,4778.0,ai_tool
azure.com,HTTPS,11,235.0,0.870,12.6,2970.1,productivity
exp-tas.com,HTTPS,15,234.5,4.313,3.5,815.8,other
githubcopilot.com,HTTPS,13,433.5,1.173,11.1,4804.4,ai_tool
google.com,HTTPS,15,265.2,0.134,111.9,29667.8,search
github.com,HTTPS,18,275.3,180.782,0.1,27.4,development
microsoft.com,HTTPS,32,677.4,13.725,2.3,1579.3,social_media
brave.com,HTTPS,14,267.9,0.297,47.2,12634.7,other
brave.com,HTTPS,16,227.7,0.959,16.7,3799.9,other
google.com,HTTPS,19,198.9,0.162,117.4,23362.9,search
google.com,HTTPS,12,243.2,0.140,85.4,20771.3,search
mozilla.net,HTTPS,20,113.0,0.264,75.8,8565.5,other
mozilla.com,HTTPS,12,273.1,0.128,93.4,25502.5,other
google.com,HTTPS,6,887.5,0.091,65.7,58325.6,search
githubcopilot.com,HTTPS,13,398.9,1.119,11.6,4635.1,ai_tool
ubuntu.com,HTTPS,6,82.0,0.509,11.8,966.0,other
githubcopilot.com,HTTPS,32,170.6,90.046,0.4,60.6,ai_tool
azure.com,HTTPS,11,235.2,0.945,11.6,2737.7,productivity
exp-tas.com,HTTPS,16,223.2,5.198,3.1,687.2,other
githubcopilot.com,HTTPS,13,398.8,1.157,11.2,4480.3,ai_tool
ubuntu.com,HTTPS,5,85.2,0.305,16.4,1395.0,other
exp-tas.com,HTTPS,13,169.1,4.193,3.1,524.2,other
github.com,HTTPS,11,352.7,2.872,3.8,1350.8,development
azure.com,HTTPS,11,234.8,0.928,11.9,2784.9,productivity
brave.com,HTTPS,13,261.5,0.050,259.8,67933.1,other
githubcopilot.com,HTTPS,13,398.8,1.136,11.4,4564.8,ai_tool
ubuntu.com,HTTPS,5,85.2,0.299,16.7,1423.9,other
mozilla.org,HTTPS,16,231.9,170.418,0.1,21.8,other
githubcopilot.com,HTTPS,27,192.4,90.037,0.3,57.7,ai_tool
ubuntu.com,HTTPS,5,85.2,0.282,17.8,1513.0,other
brave.com,HTTPS,14,310.5,10.804,1.3,402.4,other
githubcopilot.com,HTTPS,11,243.9,66.066,0.2,40.6,ai_tool
azure.com,HTTPS,11,234.9,0.936,11.7,2759.3,productivity
github.com,HTTPS,12,218.8,27.047,0.4,97.1,development
githubcopilot.com,HTTPS,11,238.1,26.809,0.4,97.7,ai_tool
githubcopilot.com,HTTPS,18,270.6,90.102,0.2,54.0,ai_tool
github.com,HTTPS,343,246.3,57.757,5.9,1462.9,development
ubuntu.com,HTTPS,5,85.2,0.489,10.2,871.6,other
githubcopilot.com,HTTPS,28,183.7,145.936,0.2,35.2,ai_tool
brave.com,HTTPS,12,233.9,172.059,0.1,16.3,other
github.com,HTTPS,8,298.6,0.676,11.8,3533.9,development
snapcraft.io,HTTPS,33,359.3,5.714,5.8,2074.9,other
snapcraft.io,HTTPS,12,185.5,5.504,2.2,404.4,other
ubuntu.com,HTTPS,8,153.2,1.190,6.7,1030.4,other
ubuntu.com,HTTPS,19,117.1,1.084,17.5,2052.3,other
ubuntu.com,HTTPS,6,105.8,1.257,4.8,505.3,other
brave.com,HTTPS,10,140.5,1.043,9.6,1347.7,other
snapcraft.io,HTTPS,17,102.2,5.429,3.1,320.0,other
snapcraft.io,HTTPS,23,403.2,7.420,3.1,1249.9,other
github.com,HTTPS,119,219.9,35.692,3.3,733.1,development
ubuntu.com,HTTPS,5,85.2,0.280,17.8,1520.6,other
snapcraftcontent.com,HTTPS,1252,66.9,53.647,23.3,1560.1,social_media
mozilla.org,HTTPS,16,231.9,170.306,0.1,21.8,other
github.com,HTTPS,18,114.0,1.294,13.9,1586.0,development
githubcopilot.com,HTTPS,16,615.2,1.304,12.3,7546.7,ai_tool
github.com,HTTPS,5,438.2,0.359,13.9,6105.5,development
azure.com,HTTPS,11,226.8,1.099,10.0,2269.3,productivity
githubcopilot.com,HTTPS,30,950.1,1.616,18.6,17641.4,ai_tool
githubcopilot.com,HTTPS,159,1409.9,2.303,69.0,97355.6,ai_tool
github.com,HTTPS,21,226.9,32.104,0.7,148.4,development
githubcopilot.com,HTTPS,30,1000.9,1.620,18.5,18533.6,ai_tool
githubcopilot.com,HTTPS,112,1372.2,2.273,49.3,67615.9,ai_tool
githubcopilot.com,HTTPS,23,930.7,1.508,15.3,14197.8,ai_tool
githubcopilot.com,HTTPS,60,1274.0,1.924,31.2,39740.1,ai_tool
githubcopilot.com,HTTPS,22,922.1,1.583,13.9,12816.4,ai_tool
githubcopilot.com,HTTPS,111,1370.1,2.172,51.1,70009.6,ai_tool
githubcopilot.com,HTTPS,38,1163.2,1.709,22.2,25868.3,ai_tool
githubcopilot.com,HTTPS,164,1402.4,2.364,69.4,97292.4,ai_tool
ubuntu.com,HTTPS,5,85.2,0.279,17.9,1524.3,other
mozilla.com,HTTPS,14,224.9,1200.220,0.0,2.6,other
githubcopilot.com,HTTPS,29,1045.9,1.596,18.2,19002.1,ai_tool
chatgpt.com,HTTPS,70,690.4,527.556,0.1,91.6,ai_tool
githubcopilot.com,HTTPS,163,1410.3,2.522,64.6,91148.4,ai_tool
github.com,HTTPS,17,116.8,1.030,16.5,1927.7,development
githubcopilot.com,HTTPS,24,969.3,1.552,15.5,14993.8,ai_tool
githubcopilot.com,HTTPS,16,225.1,120.491,0.1,29.9,ai_tool
githubcopilot.com,HTTPS,164,1409.5,2.371,69.2,97473.5,ai_tool
